year,reporter_code,reporter_iso3,reporter_name,flow_code,flow_name,partner_code,partner_iso3,partner_name,partner_is_group,hs_code,commodity,classification,trade_value_usd,net_weight_kg,net_weight_estimated,comtrade_is_aggregate,comtrade_is_reported
2019,699,IND,India,M,Import,608,PHL,Philippines,False,8542,Electronic integrated circuits,H5,28529854.541,24705.779,True,True,False
2019,699,IND,India,M,Import,616,POL,Poland,False,8542,Electronic integrated circuits,H5,119599.024,102.386,True,True,False
2019,699,IND,India,M,Import,620,PRT,Portugal,False,8542,Electronic integrated circuits,H5,88306.277,80.27,True,True,False
2019,699,IND,India,M,Import,634,QAT,Qatar,False,8542,Electronic integrated circuits,H5,38.987,0.0,True,True,False
2019,699,IND,India,M,Import,642,ROU,Romania,False,8542,Electronic integrated circuits,H5,80687.941,63.687,True,True,False
2019,699,IND,India,M,Import,643,RUS,Russian Federation,False,8542,Electronic integrated circuits,H5,1254070.13,1111.51,True,True,False
2019,699,IND,India,M,Import,686,SEN,Senegal,False,8542,Electronic integrated circuits,H5,96835.49,0.0,True,True,False
2019,699,IND,India,M,Import,688,SRB,Serbia,False,8542,Electronic integrated circuits,H5,2078.496,0.0,True,True,False
2019,699,IND,India,M,Import,702,SGP,Singapore,False,8542,Electronic integrated circuits,H5,884506824.547,786954.328,True,True,False
2019,699,IND,India,M,Import,703,SVK,Slovakia,False,8542,Electronic integrated circuits,H5,299287.011,0.0,True,True,False
2019,699,IND,India,M,Import,704,VNM,Viet Nam,False,8542,Electronic integrated circuits,H5,25117468.928,21248.054,True,True,False
2019,699,IND,India,M,Import,705,SVN,Slovenia,False,8542,Electronic integrated circuits,H5,9357.511,0.0,True,True,False
2019,699,IND,India,M,Import,710,ZAF,South Africa,False,8542,Electronic integrated circuits,H5,64141.539,57.845,True,True,False
2019,699,IND,India,M,Import,724,ESP,Spain,False,8542,Electronic integrated circuits,H5,222224.191,257.913,True,True,False
2019,699,IND,India,M,Import,752,SWE,Sweden,False,8542,Electronic integrated circuits,H5,177256.827,170.54,True,True,False
2019,699,IND,India,M,Import,757,CHE,Switzerland,False,8542,Electronic integrated circuits,H5,662386.569,649.295,True,True,False
2019,699,IND,India,M,Import,764,THA,Thailand,False,8542,Electronic integrated circuits,H5,39629486.511,39772.068,True,True,False
2019,699,IND,India,M,Import,784,ARE,United Arab Emirates,False,8542,Electronic integrated circuits,H5,1589375.012,1460.046,True,True,False
2019,699,IND,India,M,Import,792,TUR,Türkiye,False,8542,Electronic integrated circuits,H5,305967.503,0.0,True,True,False
2019,699,IND,India,M,Import,826,GBR,United Kingdom,False,8542,Electronic integrated circuits,H5,6974306.223,12610.274,True,True,False
2019,699,IND,India,M,Import,842,USA,USA,False,8542,Electronic integrated circuits,H5,173434433.685,146902.561,True,True,False
2019,699,IND,India,X,Export,0,W00,World,True,8542,Electronic integrated circuits,H5,247943980.858,0.0,True,True,False
2019,699,IND,India,X,Export,8,ALB,Albania,False,8542,Electronic integrated circuits,H5,124.829,1.0,False,True,False
2019,699,IND,India,X,Export,12,DZA,Algeria,False,8542,Electronic integrated circuits,H5,38622.818,38.595,True,True,False
2019,699,IND,India,X,Export,31,AZE,Azerbaijan,False,8542,Electronic integrated circuits,H5,331.064,0.0,True,True,False
2019,699,IND,India,X,Export,36,AUS,Australia,False,8542,Electronic integrated circuits,H5,57180.615,51.253,True,True,False
2019,699,IND,India,X,Export,40,AUT,Austria,False,8542,Electronic integrated circuits,H5,5928.684,5.36,True,True,False
2019,699,IND,India,X,Export,48,BHR,Bahrain,False,8542,Electronic integrated circuits,H5,12120.35,18.185,True,True,False
2019,699,IND,India,X,Export,50,BGD,Bangladesh,False,8542,Electronic integrated circuits,H5,209933.357,354.323,True,True,False
2019,699,IND,India,X,Export,56,BEL,Belgium,False,8542,Electronic integrated circuits,H5,97702.942,0.0,True,True,False
2019,699,IND,India,X,Export,64,BTN,Bhutan,False,8542,Electronic integrated circuits,H5,9318.529,0.0,True,True,False
2019,699,IND,India,X,Export,70,BIH,Bosnia Herzegovina,False,8542,Electronic integrated circuits,H5,3504.489,0.0,True,True,False
2019,699,IND,India,X,Export,72,BWA,Botswana,False,8542,Electronic integrated circuits,H5,711.134,2.155,True,True,False
2019,699,IND,India,X,Export,76,BRA,Brazil,False,8542,Electronic integrated circuits,H5,7869990.497,6542.081,True,True,False
2019,699,IND,India,X,Export,100,BGR,Bulgaria,False,8542,Electronic integrated circuits,H5,9718.613,0.0,True,True,False
2019,699,IND,India,X,Export,104,MMR,Myanmar,False,8542,Electronic integrated circuits,H5,19276.246,18.282,True,True,False
2019,699,IND,India,X,Export,112,BLR,Belarus,False,8542,Electronic integrated circuits,H5,4957.012,0.0,True,True,False
2019,699,IND,India,X,Export,120,CMR,Cameroon,False,8542,Electronic integrated circuits,H5,5900.247,0.0,True,True,False
2019,699,IND,India,X,Export,124,CAN,Canada,False,8542,Electronic integrated circuits,H5,135642.524,119.633,True,True,False
2019,699,IND,India,X,Export,144,LKA,Sri Lanka,False,8542,Electronic integrated circuits,H5,122856.736,165.031,True,True,False
2019,699,IND,India,X,Export,152,CHL,Chile,False,8542,Electronic integrated circuits,H5,5748.117,0.0,True,True,False
2019,699,IND,India,X,Export,156,CHN,China,False,8542,Electronic integrated circuits,H5,9182814.179,8208.572,True,True,False
2019,699,IND,India,X,Export,170,COL,Colombia,False,8542,Electronic integrated circuits,H5,220617.761,938.916,True,True,False
2019,699,IND,India,X,Export,180,COD,Dem. Rep. of the Congo,False,8542,Electronic integrated circuits,H5,2486.709,6.506,True,True,False
2019,699,IND,India,X,Export,196,CYP,Cyprus,False,8542,Electronic integrated circuits,H5,647.938,0.0,True,True,False
2019,699,IND,India,X,Export,203,CZE,Czechia,False,8542,Electronic integrated circuits,H5,582480.112,0.0,True,True,False
2019,699,IND,India,X,Export,208,DNK,Denmark,False,8542,Electronic integrated circuits,H5,73126.902,0.0,True,True,False
2019,699,IND,India,X,Export,218,ECU,Ecuador,False,8542,Electronic integrated circuits,H5,3182.559,138.0,False,True,False
2019,699,IND,India,X,Export,222,SLV,El Salvador,False,8542,Electronic integrated circuits,H5,506.958,1.423,True,True,False
2019,699,IND,India,X,Export,231,ETH,Ethiopia,False,8542,Electronic integrated circuits,H5,10294.392,402.693,True,True,False
2019,699,IND,India,X,Export,233,EST,Estonia,False,8542,Electronic integrated circuits,H5,21946.108,24.861,True,True,False
2019,699,IND,India,X,Export,242,FJI,Fiji,False,8542,Electronic integrated circuits,H5,240.596,0.229,True,True,False
2019,699,IND,India,X,Export,246,FIN,Finland,False,8542,Electronic integrated circuits,H5,1336584.001,1218.275,True,True,False
2019,699,IND,India,X,Export,251,FRA,France,False,8542,Electronic integrated circuits,H5,1176569.114,1210.449,True,True,False
2019,699,IND,India,X,Export,262,DJI,Djibouti,False,8542,Electronic integrated circuits,H5,111.463,0.0,True,True,False
2019,699,IND,India,X,Export,276,DEU,Germany,False,8542,Electronic integrated circuits,H5,1805511.715,1757.269,True,True,False
2019,699,IND,India,X,Export,288,GHA,Ghana,False,8542,Electronic integrated circuits,H5,12325.236,36.993,True,True,False
2019,699,IND,India,X,Export,300,GRC,Greece,False,8542,Electronic integrated circuits,H5,78483.969,80.175,True,True,False
2019,699,IND,India,X,Export,320,GTM,Guatemala,False,8542,Electronic integrated circuits,H5,9892.12,11.45,True,True,False
2019,699,IND,India,X,Export,340,HND,Honduras,False,8542,Electronic integrated circuits,H5,4727.808,569.0,False,True,False
2019,699,IND,India,X,Export,344,HKG,"China, Hong Kong SAR",False,8542,Electronic integrated circuits,H5,56327231.831,57933.458,True,True,False
2019,699,IND,India,X,Export,348,HUN,Hungary,False,8542,Electronic integrated circuits,H5,963706.82,916.778,True,True,False
2019,699,IND,India,X,Export,360,IDN,Indonesia,False,8542,Electronic integrated circuits,H5,635531.809,646.723,True,True,False
2019,699,IND,India,X,Export,364,IRN,Iran,False,8542,Electronic integrated circuits,H5,887.766,10.0,False,True,False
2019,699,IND,India,X,Export,368,IRQ,Iraq,False,8542,Electronic integrated circuits,H5,715.679,146.08,True,True,False
2019,699,IND,India,X,Export,372,IRL,Ireland,False,8542,Electronic integrated circuits,H5,6456623.557,0.0,True,True,False
2019,699,IND,India,X,Export,376,ISR,Israel,False,8542,Electronic integrated circuits,H5,50581316.947,39629.623,True,True,False
2019,699,IND,India,X,Export,380,ITA,Italy,False,8542,Electronic integrated circuits,H5,116525.98,115.861,True,True,False
2019,699,IND,India,X,Export,384,CIV,Côte d'Ivoire,False,8542,Electronic integrated circuits,H5,3485.413,38.617,True,True,False
2019,699,IND,India,X,Export,392,JPN,Japan,False,8542,Electronic integrated circuits,H5,409528.074,426.708,True,True,False
2019,699,IND,India,X,Export,400,JOR,Jordan,False,8542,Electronic integrated circuits,H5,3686.193,8.514,True,True,False
2019,699,IND,India,X,Export,404,KEN,Kenya,False,8542,Electronic integrated circuits,H5,47530.894,161.433,True,True,False
2019,699,IND,India,X,Export,410,KOR,Rep. of Korea,False,8542,Electronic integrated circuits,H5,11110710.246,9386.629,True,True,False
2019,699,IND,India,X,Export,414,KWT,Kuwait,False,8542,Electronic integrated circuits,H5,6658.113,21.375,True,True,False
2019,699,IND,India,X,Export,422,LBN,Lebanon,False,8542,Electronic integrated circuits,H5,1371.245,0.0,True,True,False
2019,699,IND,India,X,Export,428,LVA,Latvia,False,8542,Electronic integrated circuits,H5,31.292,0.0,True,True,False
2019,699,IND,India,X,Export,430,LBR,Liberia,False,8542,Electronic integrated circuits,H5,88.025,0.0,True,True,False
2019,699,IND,India,X,Export,434,LBY,Libya,False,8542,Electronic integrated circuits,H5,23905.517,0.0,True,True,False
2019,699,IND,India,X,Export,440,LTU,Lithuania,False,8542,Electronic integrated circuits,H5,46009.096,0.0,True,True,False
2019,699,IND,India,X,Export,454,MWI,Malawi,False,8542,Electronic integrated circuits,H5,43729.929,245.302,True,True,False
2019,699,IND,India,X,Export,458,MYS,Malaysia,False,8542,Electronic integrated circuits,H5,2543787.171,2253.428,True,True,False
2019,699,IND,India,X,Export,462,MDV,Maldives,False,8542,Electronic integrated circuits,H5,1172.083,0.0,True,True,False
2019,699,IND,India,X,Export,466,MLI,Mali,False,8542,Electronic integrated circuits,H5,148.082,2.0,False,True,False
2019,699,IND,India,X,Export,470,MLT,Malta,False,8542,Electronic integrated circuits,H5,23181.983,166.571,True,True,False
2019,699,IND,India,X,Export,480,MUS,Mauritius,False,8542,Electronic integrated circuits,H5,22857.041,47.408,True,True,False
2019,699,IND,India,X,Export,484,MEX,Mexico,False,8542,Electronic integrated circuits,H5,959087.577,877.644,True,True,False
2019,699,IND,India,X,Export,490,S19,"Other Asia, nes",False,8542,Electronic integrated circuits,H5,577336.255,543.019,True,True,False
2019,699,IND,India,X,Export,504,MAR,Morocco,False,8542,Electronic integrated circuits,H5,698.165,7.0,False,True,False
2019,699,IND,India,X,Export,508,MOZ,Mozambique,False,8542,Electronic integrated circuits,H5,1258.504,12.864,True,True,False
2019,699,IND,India,X,Export,512,OMN,Oman,False,8542,Electronic integrated circuits,H5,27798.741,225.544,True,True,False
2019,699,IND,India,X,Export,524,NPL,Nepal,False,8542,Electronic integrated circuits,H5,153301.816,1709.719,True,True,False
2019,699,IND,India,X,Export,528,NLD,Netherlands,False,8542,Electronic integrated circuits,H5,275082.349,266.569,True,True,False
2019,699,IND,India,X,Export,554,NZL,New Zealand,False,8542,Electronic integrated circuits,H5,19412.282,0.0,True,True,False
2019,699,IND,India,X,Export,558,NIC,Nicaragua,False,8542,Electronic integrated circuits,H5,3504.958,0.0,True,True,False
2019,699,IND,India,X,Export,562,NER,Niger,False,8542,Electronic integrated circuits,H5,265.78,0.0,True,True,False
2019,699,IND,India,X,Export,566,NGA,Nigeria,False,8542,Electronic integrated circuits,H5,417080.147,1112.296,True,True,False
2019,699,IND,India,X,Export,579,NOR,Norway,False,8542,Electronic integrated circuits,H5,3900.411,0.0,True,True,False
2019,699,IND,India,X,Export,586,PAK,Pakistan,False,8542,Electronic integrated circuits,H5,1568.644,0.0,True,True,False
2019,699,IND,India,X,Export,600,PRY,Paraguay,False,8542,Electronic integrated circuits,H5,571.859,16.0,False,True,False
2019,699,IND,India,X,Export,604,PER,Peru,False,8542,Electronic integrated circuits,H5,11900.422,0.0,True,True,False
2019,699,IND,India,X,Export,608,PHL,Philippines,False,8542,Electronic integrated circuits,H5,424872.972,403.698,True,True,False
2019,699,IND,India,X,Export,616,POL,Poland,False,8542,Electronic integrated circuits,H5,152516.422,125.382,True,True,False
2019,699,IND,India,X,Export,620,PRT,Portugal,False,8542,Electronic integrated circuits,H5,19461.643,0.0,True,True,False
2019,699,IND,India,X,Export,634,QAT,Qatar,False,8542,Electronic integrated circuits,H5,21087.219,78.178,True,True,False
2019,699,IND,India,X,Export,642,ROU,Romania,False,8542,Electronic integrated circuits,H5,33227.129,0.0,True,True,False
2019,699,IND,India,X,Export,643,RUS,Russian Federation,False,8542,Electronic integrated circuits,H5,648764.641,618.935,True,True,False
2019,699,IND,India,X,Export,646,RWA,Rwanda,False,8542,Electronic integrated circuits,H5,7116.094,17.05,True,True,False
2019,699,IND,India,X,Export,659,KNA,Saint Kitts and Nevis,False,8542,Electronic integrated circuits,H5,17.131,0.0,True,True,False
2019,699,IND,India,X,Export,670,VCT,Saint Vincent and the Grenadines,False,8542,Electronic integrated circuits,H5,100.752,2.0,False,True,False
2019,699,IND,India,X,Export,682,SAU,Saudi Arabia,False,8542,Electronic integrated circuits,H5,60269.367,157.261,True,True,False
2019,699,IND,India,X,Export,686,SEN,Senegal,False,8542,Electronic integrated circuits,H5,13007.961,12.426,True,True,False
2019,699,IND,India,X,Export,688,SRB,Serbia,False,8542,Electronic integrated circuits,H5,95.596,0.0,True,True,False
2019,699,IND,India,X,Export,690,SYC,Seychelles,False,8542,Electronic integrated circuits,H5,6.278,0.0,True,True,False
2019,699,IND,India,X,Export,694,SLE,Sierra Leone,False,8542,Electronic integrated circuits,H5,5.014,0.0,True,True,False
2019,699,IND,India,X,Export,702,SGP,Singapore,False,8542,Electronic integrated circuits,H5,9268470.023,9490.744,True,True,False
2019,699,IND,India,X,Export,703,SVK,Slovakia,False,8542,Electronic integrated circuits,H5,61844.02,0.0,True,True,False
2019,699,IND,India,X,Export,704,VNM,Viet Nam,False,8542,Electronic integrated circuits,H5,12156445.069,9547.133,True,True,False
2019,699,IND,India,X,Export,705,SVN,Slovenia,False,8542,Electronic integrated circuits,H5,33419.585,31.123,True,True,False
2019,699,IND,India,X,Export,710,ZAF,South Africa,False,8542,Electronic integrated circuits,H5,24668.27,534.012,True,True,False
2019,699,IND,India,X,Export,716,ZWE,Zimbabwe,False,8542,Electronic integrated circuits,H5,1285.563,8.53,True,True,False
2019,699,IND,India,X,Export,724,ESP,Spain,False,8542,Electronic integrated circuits,H5,194341.116,176.458,True,True,False
2019,699,IND,India,X,Export,729,SDN,Sudan,False,8542,Electronic integrated circuits,H5,10883.296,0.0,True,True,False
2019,699,IND,India,X,Export,748,SWZ,Eswatini,False,8542,Electronic integrated circuits,H5,1444.781,19.0,False,True,False
2019,699,IND,India,X,Export,752,SWE,Sweden,False,8542,Electronic integrated circuits,H5,118024.582,138.183,True,True,False
2019,699,IND,India,X,Export,757,CHE,Switzerland,False,8542,Electronic integrated circuits,H5,319165.047,308.716,True,True,False
2019,699,IND,India,X,Export,764,THA,Thailand,False,8542,Electronic integrated circuits,H5,983841.614,986.258,True,True,False
2019,699,IND,India,X,Export,780,TTO,Trinidad and Tobago,False,8542,Electronic integrated circuits,H5,308.039,0.0,True,True,False
2019,699,IND,India,X,Export,784,ARE,United Arab Emirates,False,8542,Electronic integrated circuits,H5,55436931.485,46327.875,True,True,False
2019,699,IND,India,X,Export,792,TUR,Türkiye,False,8542,Electronic integrated circuits,H5,95168.322,95.675,True,True,False
2019,699,IND,India,X,Export,800,UGA,Uganda,False,8542,Electronic integrated circuits,H5,24877.161,60.601,True,True,False
2019,699,IND,India,X,Export,804,UKR,Ukraine,False,8542,Electronic integrated circuits,H5,197.357,0.0,True,True,False
2019,699,IND,India,X,Export,818,EGY,Egypt,False,8542,Electronic integrated circuits,H5,71189.722,4091.793,True,True,False
2019,699,IND,India,X,Export,826,GBR,United Kingdom,False,8542,Electronic integrated circuits,H5,961075.254,872.426,True,True,False
2019,699,IND,India,X,Export,834,TZA,United Rep. of Tanzania,False,8542,Electronic integrated circuits,H5,15333.236,236.294,True,True,False
2019,699,IND,India,X,Export,842,USA,USA,False,8542,Electronic integrated circuits,H5,11825008.778,13599.145,True,True,False
2019,699,IND,India,X,Export,858,URY,Uruguay,False,8542,Electronic integrated circuits,H5,581.418,5.0,False,True,False
2019,699,IND,India,X,Export,860,UZB,Uzbekistan,False,8542,Electronic integrated circuits,H5,330.808,0.0,True,True,False
2019,699,IND,India,X,Export,862,VEN,Venezuela,False,8542,Electronic integrated circuits,H5,39.716,0.232,True,True,False
2019,699,IND,India,X,Export,887,YEM,Yemen,False,8542,Electronic integrated circuits,H5,6.207,0.0,True,True,False
2019,699,IND,India,X,Export,894,ZMB,Zambia,False,8542,Electronic integrated circuits,H5,3245.03,4.18,True,True,False
2020,699,IND,India,M,Import,0,W00,World,True,8542,Electronic integrated circuits,H5,8417890350.81,0.0,True,True,False
2020,699,IND,India,M,Import,16,ASM,American Samoa,False,8542,Electronic integrated circuits,H5,7418.193,0.0,True,True,False
2020,699,IND,India,M,Import,36,AUS,Australia,False,8542,Electronic integrated circuits,H5,174056.07,198.265,True,True,False
2020,699,IND,India,M,Import,40,AUT,Austria,False,8542,Electronic integrated circuits,H5,581246.108,473.78,True,True,False
2020,699,IND,India,M,Import,48,BHR,Bahrain,False,8542,Electronic integrated circuits,H5,29869.495,0.0,True,True,False
2020,699,IND,India,M,Import,56,BEL,Belgium,False,8542,Electronic integrated circuits,H5,3564302.837,2922.176,True,True,False
2020,699,IND,India,M,Import,76,BRA,Brazil,False,8542,Electronic integrated circuits,H5,312905.181,259.96,True,True,False
2020,699,IND,India,M,Import,100,BGR,Bulgaria,False,8542,Electronic integrated circuits,H5,3384.106,2.76,True,True,False
2020,699,IND,India,M,Import,104,MMR,Myanmar,False,8542,Electronic integrated circuits,H5,15875.531,0.0,True,True,False
2020,699,IND,India,M,Import,112,BLR,Belarus,False,8542,Electronic integrated circuits,H5,571164.779,669.842,True,True,False
2020,699,IND,India,M,Import,124,CAN,Canada,False,8542,Electronic integrated circuits,H5,587027.655,478.946,True,True,False
2020,699,IND,India,M,Import,144,LKA,Sri Lanka,False,8542,Electronic integrated circuits,H5,129933.8,0.0,True,True,False
2020,699,IND,India,M,Import,152,CHL,Chile,False,8542,Electronic integrated circuits,H5,146094.429,1470.424,True,True,False
2020,699,IND,India,M,Import,156,CHN,China,False,8542,Electronic integrated circuits,H5,2915677814.056,1921580.132,True,True,False
2020,699,IND,India,M,Import,188,CRI,Costa Rica,False,8542,Electronic integrated circuits,H5,157576.303,0.0,True,True,False
2020,699,IND,India,M,Import,196,CYP,Cyprus,False,8542,Electronic integrated circuits,H5,1041.124,0.0,True,True,False
2020,699,IND,India,M,Import,203,CZE,Czechia,False,8542,Electronic integrated circuits,H5,89832.581,73.312,True,True,False
2020,699,IND,India,M,Import,208,DNK,Denmark,False,8542,Electronic integrated circuits,H5,485170.863,2007.982,True,True,False
