year,Export,Import,trade_balance_usd,import_yoy_percent,export_yoy_percent
2019,247943980.858,10172390321.804,-9924446340.946001,,
2020,265331454.589,8417890350.81,-8152558896.221001,-17.24766662987085,7.012662162973804
2021,380462791.497,12391531711.142,-12011068919.645,47.20471750917545,43.39151461945554
2022,476192970.411,16122209275.129,-15646016304.718,30.106670030408857,25.16150883962456
2023,215103208.176,19215450431.299,-19000347223.123,19.18621141422474,-54.828562884843635
2024,267771046.731,23445487573.734,-23177716527.003002,22.013728783296816,24.484915404844433
2025,242000298.249,28616482893.972,-28374482595.723,22.05539681772739,-9.624172888224546
